c_h,n_h,o_h,na_h,mg_h,al_h,si_h,ca_h,sc_h,ti_h,v_h,cr_h,mn_h,fe_h,co_h,ni_h,cu_h,zn_h,y_h,ba_h,ce_h,nd_h,sm_h,eu_h
-0.22961822152137756,-0.17169593274593353,-0.09937606751918793,-0.13227829337120056,-0.22402408719062805,-0.31860485672950745,-0.195524200797081,-0.19326698780059814,-0.27193254232406616,-0.19053895771503448,-0.08900517225265503,-0.26884594559669495,-0.3324846625328064,-0.27067339420318604,-0.14633235335350037,-0.28588998317718506,-0.17720744013786316,-0.12259498238563538,-0.333280086517334,-0.018915146589279175,-0.1538170427083969,-0.021331459283828735,-0.23564301431179047,0.25691282749176025
0.2972494959831238,0.2800280451774597,0.32628604769706726,0.09879466146230698,0.1823830008506775,0.10458385199308395,0.2290349304676056,0.14116878807544708,0.21730764210224152,0.2584257125854492,0.4532925486564636,0.18107877671718597,0.09240216761827469,0.2016856074333191,0.4200979471206665,0.25104886293411255,0.4195471405982971,0.24994827806949615,0.17039774358272552,0.2041800320148468,0.2967219352722168,0.10330995917320251,0.21882110834121704,0.21304479241371155
-0.12349864840507507,-0.056422553956508636,-0.04640661180019379,0.1363736391067505,-0.0007950514554977417,0.053899459540843964,-0.011746227741241455,0.04869794100522995,0.02808329463005066,0.02378518134355545,0.24529433250427246,-0.04526711255311966,0.012750834226608276,-0.04220575839281082,0.16425123810768127,-0.05216303467750549,0.09810622781515121,0.006860755383968353,-0.08958727866411209,0.08901142328977585,-0.2572532594203949,-0.051537081599235535,-0.15381348133087158,-0.1862047016620636
-0.42383289337158203,-0.3481403589248657,-0.3221845030784607,-0.3351527750492096,-0.31466609239578247,-0.2421587109565735,-0.375003457069397,-0.3534383177757263,-0.3974519968032837,-0.3518630266189575,-0.23221616446971893,-0.5234835147857666,-0.5839155316352844,-0.47770124673843384,-0.32566356658935547,-0.42393758893013,-0.4409812092781067,-0.43332695960998535,-0.569452166557312,-0.49863961338996887,-0.5422881245613098,-0.35827916860580444,-0.2677859663963318,-0.31047219038009644
0.2520783543586731,0.42679136991500854,0.100214883685112,0.3856446444988251,0.29882514476776123,0.4959060847759247,0.3263723850250244,0.18899260461330414,0.2968460023403168,0.2952590584754944,0.580130934715271,0.2890694737434387,0.4014371335506439,0.23699408769607544,0.510783851146698,0.348774790763855,0.5843963623046875,-0.015008032321929932,0.24027830362319946,-0.03163447976112366,-0.040412843227386475,0.1911126673221588,0.15487432479858398,0.19639943540096283
0.0028579682111740112,0.2840576767921448,0.16019544005393982,0.15168243646621704,0.07447345554828644,0.12848111987113953,0.08572599291801453,0.0072916969656944275,0.035384368151426315,0.06626082211732864,0.25094887614250183,0.02344062551856041,0.06803832948207855,0.04151170700788498,0.2504989504814148,0.10038237273693085,0.234763503074646,-0.035052455961704254,-0.02789812535047531,0.14296485483646393,0.05216262489557266,0.08881540596485138,0.08556617796421051,0.09152038395404816
0.06281132996082306,0.13279429078102112,0.14221064746379852,0.12677711248397827,0.07170884311199188,0.1530267298221588,0.06584429740905762,0.0014171469956636429,0.03314533829689026,0.038916394114494324,0.3019818365573883,-0.018557734787464142,0.05836807191371918,0.0321287140250206,0.2084687054157257,0.11439946293830872,0.1979691982269287,0.1855359971523285,-0.10411027818918228,0.00739239901304245,0.09055390954017639,0.03771105408668518,-0.027539800852537155,-0.0189971923828125
0.26256483793258667,0.2927733063697815,0.27044475078582764,0.28588417172431946,0.0970645546913147,0.3084834814071655,0.22553443908691406,0.0352080836892128,0.22340337932109833,0.1605558693408966,0.4151618480682373,0.15441177785396576,0.2639680802822113,0.1593477725982666,0.3987341523170471,0.27327099442481995,0.41925764083862305,0.6052347421646118,-0.013498365879058838,0.030938804149627686,0.10502500087022781,0.09161227941513062,0.29464131593704224,0.3316963315010071
0.10596076399087906,0.1762106716632843,0.09628503769636154,0.19669558107852936,0.10388126969337463,0.24848683178424835,0.1076427698135376,0.10717155039310455,0.13097015023231506,0.12162220478057861,0.36652153730392456,0.09069222956895828,0.1626090705394745,0.10061605274677277,0.31345707178115845,0.15098725259304047,0.27463477849960327,0.3739672899246216,-0.04035007953643799,0.12273114174604416,0.1994689404964447,-0.003131762146949768,-0.0024136528372764587,0.3884155750274658
0.13291187584400177,0.2749752104282379,0.4358840882778168,0.019719958305358887,0.05332636088132858,0.22579127550125122,0.05812729895114899,-0.019824841991066933,0.07040717452764511,0.05974802374839783,0.23382505774497986,-0.043164465576410294,-0.10146105289459229,-0.024408310651779175,0.13220813870429993,0.06193000078201294,0.15894922614097595,-0.20605863630771637,-0.15202857553958893,-0.08682280778884888,-0.012777291238307953,0.03938280791044235,0.11607740819454193,-0.03328777104616165
0.05608435720205307,0.03577123209834099,0.0512046217918396,0.2150980532169342,0.05262427031993866,0.15204566717147827,0.1268690973520279,-0.038442231714725494,0.05999714136123657,0.05062168091535568,0.21683603525161743,0.029624376446008682,0.09567034244537354,0.06481043249368668,0.2618097960948944,0.1268925815820694,0.119843490421772,-0.01475716382265091,0.0899738222360611,0.1753801554441452,0.03883347660303116,0.09954777359962463,0.1484702229499817,0.2819013297557831
0.21226289868354797,0.1629636436700821,0.12886282801628113,0.23290282487869263,0.20639023184776306,0.2875453531742096,0.25314658880233765,0.012812435626983643,0.2140454351902008,0.22537338733673096,0.4230051338672638,0.10415449738502502,0.1888105571269989,0.14539358019828796,0.4551856815814972,0.26059210300445557,0.42549771070480347,0.4440872371196747,-0.08409467339515686,0.059241391718387604,0.16392090916633606,0.057073041796684265,0.2854161560535431,0.37254682183265686
-0.07444843649864197,0.10964670032262802,-0.056938670575618744,0.1602376103401184,-0.02461724728345871,0.09367748349905014,0.023828186094760895,-0.07937105745077133,-0.03279915452003479,-0.009770400822162628,0.16647574305534363,-0.06157063692808151,-0.03873768448829651,-0.04254583269357681,0.1578187346458435,0.04089367389678955,0.15300142765045166,-0.0856829509139061,-0.0565326064825058,0.070436492562294,0.02942100167274475,0.014816105365753174,0.023144766688346863,0.025556370615959167
0.1104542464017868,0.2247665822505951,0.07346144318580627,0.33823758363723755,0.10815279930830002,0.3134787082672119,0.15257221460342407,0.06519946455955505,0.16750755906105042,0.10869516432285309,0.3712499737739563,0.09254597127437592,0.22124513983726501,0.10806392133235931,0.35728052258491516,0.1959095001220703,0.3174472749233246,0.15798325836658478,-0.11191186308860779,-0.0785272866487503,-0.18170003592967987,-0.004961609840393066,0.11499585211277008,0.32777589559555054
-0.06213562190532684,0.09064332395792007,-0.0080175856128335,0.08433543890714645,-0.012845218181610107,0.10196691006422043,-0.005963154137134552,-0.039808422327041626,0.005245694890618324,0.04311152920126915,0.2008642554283142,-0.021984679624438286,0.024912327527999878,-0.01617557555437088,0.19267597794532776,0.06723450124263763,0.18241453170776367,-0.10839369148015976,-0.09913221746683121,0.05452820658683777,0.01093217357993126,0.03357881307601929,0.07224833965301514,-0.062280766665935516
0.05602669715881348,0.16770121455192566,0.20441275835037231,-0.02396005392074585,-0.1101464256644249,-0.12455907464027405,0.019716262817382812,-0.10026533901691437,-0.15649086236953735,-0.10741370916366577,0.05331718921661377,-0.1878214180469513,-0.13935986161231995,-0.12533828616142273,0.13066458702087402,-0.0012213066220283508,0.005202203989028931,-0.1590273380279541,-0.3338698148727417,0.11669796705245972,-0.13301342725753784,-0.1886308640241623,-0.06470251083374023,-0.15244191884994507
-0.016675805673003197,-0.03269822150468826,0.002354145050048828,0.20573970675468445,0.2068348526954651,0.2946735620498657,0.12340236455202103,-0.0895095020532608,0.08528586477041245,0.11265013366937637,0.2808503806591034,-0.09717302024364471,-0.027205727994441986,-0.031008966267108917,0.3034306466579437,0.05213350057601929,0.1358921229839325,-0.10721950978040695,-0.0599084198474884,0.013957791030406952,-0.28643161058425903,-0.05128222703933716,0.19244003295898438,0.010524578392505646
0.17681682109832764,0.24602162837982178,0.1386798471212387,0.3583744168281555,0.2666226327419281,0.30926787853240967,0.25116127729415894,0.12139694392681122,0.1805095672607422,0.209121972322464,0.4679643511772156,0.18659380078315735,0.27569228410720825,0.18863964080810547,0.4614506661891937,0.3089079260826111,0.42571622133255005,0.23868858814239502,0.050586551427841187,0.08300606906414032,0.09294945746660233,0.13420704007148743,0.12056927382946014,0.2864418029785156
-0.04903949052095413,0.0377664789557457,0.07173258811235428,0.09239741414785385,0.017461329698562622,0.0352378711104393,-0.008722659200429916,-0.02085203491151333,-0.02864891290664673,0.032293397933244705,0.12670475244522095,-0.03377557173371315,-0.09038101136684418,-0.029124177992343903,0.1061730608344078,0.006187893450260162,0.0948326513171196,-0.06799692660570145,-0.12928488850593567,0.02253597229719162,0.12673169374465942,0.015492171049118042,0.1269180178642273,0.189497709274292
0.09300418943166733,0.2870040237903595,0.26250606775283813,0.020957715809345245,0.020113244652748108,0.10200830549001694,0.03432949259877205,-0.018490245565772057,-0.016586456447839737,0.032299626618623734,0.19492772221565247,-0.07009381055831909,-0.07180172950029373,-0.01163867861032486,0.10793909430503845,0.03385431319475174,0.07604896277189255,-0.1537109613418579,-0.14822939038276672,-0.0791231244802475,-0.060492143034935,0.07507839798927307,0.08567529171705246,0.038566526025533676
0.03516870737075806,0.12802734971046448,0.1493152379989624,0.14030900597572327,0.06291630864143372,0.10371718555688858,0.08308777958154678,0.07382504642009735,-0.011713424697518349,0.11587301641702652,0.2771424353122711,0.0030999071896076202,-0.004435129463672638,0.019219018518924713,0.25429263710975647,0.06564228981733322,0.19988781213760376,-0.17446744441986084,-0.14297038316726685,0.06951017677783966,0.17466560006141663,0.030982181429862976,0.1884535551071167,0.3448511064052582
0.1358693242073059,0.026349708437919617,0.20128878951072693,0.06505882740020752,-0.019450794905424118,0.10000081360340118,0.10457281768321991,-0.05672734975814819,-0.00985242985188961,-0.017608538269996643,0.1307421326637268,-0.09103550761938095,0.07813376933336258,0.01487778127193451,0.19756078720092773,0.07750533521175385,0.300984263420105,-0.3153305649757385,-0.13033249974250793,0.027134522795677185,-0.07298951596021652,0.02593035250902176,0.09176722913980484,0.34082263708114624
0.09170377254486084,0.11074401438236237,0.13616347312927246,0.1652069389820099,0.12374484539031982,0.19840964674949646,0.10796880722045898,0.06779596209526062,0.10633191466331482,0.13304874300956726,0.3715440034866333,0.00491153821349144,0.07005000859498978,0.061231307685375214,0.3033280074596405,0.1477838158607483,0.3193853795528412,0.17290115356445312,-0.1392088234424591,0.1012909933924675,-0.05184142291545868,0.09408386051654816,0.028781037777662277,0.15878182649612427
0.02361895889043808,0.1728001832962036,0.28293657302856445,0.029632993042469025,0.05216604471206665,0.0314505472779274,-0.018006186932325363,-0.12223071604967117,-0.019892949610948563,-0.00590156763792038,0.18835029006004333,-0.12240444123744965,-0.06297701597213745,-0.07201360911130905,0.15554958581924438,-0.02559174969792366,0.08926656097173691,-0.10256504267454147,-0.15647056698799133,0.03757363557815552,-0.10395164042711258,-0.05409422516822815,0.06785262376070023,0.15530270338058472
